damage,xcentroid,ycentroid
1,-95.093414,29.924595
1,-95.094154,29.685211
1,-95.118454,29.522154
.99921012,-95.095139,29.543652
.99972796,-95.118805,29.679657
1.1456693,-95.119385,29.77426
.99851024,-95.119682,29.697336
1.1656805,-95.096077,29.799282
1,-95.096321,29.662678
2,-95.096992,29.802294
1,-95.120499,29.487486
1,-95.120934,29.543814
1,-95.120964,29.671827
.99514937,-95.121002,29.780451
2,-95.1213,29.407679
1,-95.121719,29.777843
1,-95.121635,29.48082
1,-95.097862,29.458414
1,-95.098022,29.985945
.99931598,-95.098267,29.444134
1,-95.098389,29.513681
2,-95.121986,29.397909
1,-95.121902,29.77981
1.0912477,-95.121841,29.715368
1.3919483,-95.122147,29.605391
1,-95.122406,29.381147
1,-95.122528,29.489975
1,-95.098892,29.790951
1,-95.099251,29.680758
1,-95.099411,29.448963
2.2960844,-95.100159,30.074242
.99739242,-95.12336,29.692722
1,-95.1241,29.675507
1,-95.100578,29.658386
1,-95.101685,29.495878
1,-95.102097,29.495459
1,-95.124931,29.677021
1,-95.125458,29.750969
1,-95.125702,29.536039
1,-95.125687,30.061285
3,-95.12574,29.428621
1,-95.126213,29.471355
1,-95.102676,30.027647
1,-95.102898,29.497557
1,-95.104362,29.544706
1,-95.127174,29.945898
1.4537815,-95.127792,29.474354
1,-95.127899,29.665047
1,-95.12822,29.553411
1,-95.104301,29.780418
2.0013127,-95.105225,29.531134
1,-95.104965,29.768604
1,-95.105011,29.588728
.98848486,-95.105247,29.5499
1.8045738,-95.128494,30.078318
1.0132984,-95.128593,29.74271
1,-95.105286,29.602942
1.2769231,-95.105446,29.38999
1,-95.105949,29.686699
1,-95.1063,29.694752
1.3416965,-95.106262,29.533997
1,-95.129822,29.575197
1.9957081,-95.130066,30.064631
2.9355726,-95.130424,29.880035
1.5441595,-95.131119,29.659328
1,-95.106697,29.442335
1,-95.107086,29.673962
.99850804,-95.131538,29.690674
.99776477,-95.131454,29.675383
1.9323144,-95.132263,29.359362
1,-95.132401,29.645954
1,-95.108421,29.386875
1,-95.10862,29.687401
1.3344791,-95.109001,29.598211
1,-95.109306,29.587381
1,-95.109428,29.680946
1,-95.109474,29.662992
1.7064556,-95.133224,29.402119
2.2412674,-95.108963,29.745695
1,-95.110168,29.806709
1.3424408,-95.110519,29.777042
1,-95.111092,29.608303
1,-95.11129,29.772512
2,-95.111214,30.045336
1.1008772,-95.13398,29.60577
1,-95.133904,29.708368
.99881715,-95.13446,29.861517
1,-95.111519,29.767134
1.8214524,-95.112099,29.418091
1.0524344,-95.135948,29.363335
.97972971,-95.136536,29.643208
1,-95.136665,29.596188
1,-95.113388,29.569754
.99959922,-95.11338,29.700317
1,-95.113869,29.701773
1,-95.113937,29.491568
1,-95.114449,29.676626
2.9432991,-95.136803,29.5263
1,-95.137001,29.572304
1,-95.137062,29.65237
1.607874,-95.137535,29.606516
.99199998,-95.137627,29.574106
.90634441,-95.137833,29.784525
2,-95.114861,29.374359
1,-95.11496,29.672705
1.2836118,-95.13868,29.579794
1,-95.138885,29.648327
1,-95.116852,29.5028
1,-95.117744,29.695963
1,-95.117714,29.69663
.99946725,-95.139442,29.672699
1,-95.13958,29.371075
1.0070565,-95.139626,29.548306
1,-95.140518,29.831007
1,-95.140327,29.800066
1,-95.140701,29.648888
1,-95.118652,29.387674
.99079323,-95.118568,29.60367
1,-95.118782,29.546814
1,-95.119102,29.698479
1,-95.119171,29.771858
1,-95.140961,29.557653
2,-95.141457,29.992975
1,-95.141594,29.675089
1.5230954,-95.141663,29.589764
1,-95.141762,29.60055
2.1467152,-95.141907,29.521196
1,-95.119926,29.698107
1,-95.119972,29.710192
.99778759,-95.120148,29.675327
2.0221694,-95.120186,29.715702
1.455399,-95.1203,29.369188
1,-95.120483,29.386635
1,-95.120865,29.782219
1,-95.120895,29.491638
1,-95.120918,29.687994
1,-95.142998,29.702456
1,-95.142441,29.684958
1,-95.121292,29.642849
.99533439,-95.121521,29.48163
1,-95.121513,29.493534
1.0217992,-95.121819,29.476873
1.3286445,-95.12204,29.569756
1,-95.122154,29.595482
.99912322,-95.122131,29.53331
1,-95.143639,29.582184
1.0080477,-95.14418,29.806513
.99850446,-95.144287,29.571081
